Unnamed: 0,Airline Name,Overall_Rating,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Value For Money,Recommended
30,Adria Airways,3,Couple Leisure,Economy Class,LGW to LJU,Jul-16,4,5,1,1,1,3,no
31,Adria Airways,1,Solo Leisure,Economy Class,TLL to ARN,Jul-16,5,5,5,5,1,5,yes
32,Adria Airways,8,Business,Economy Class,ZRH to LJU,Jul-16,4,4,3,5,1,4,yes
33,Adria Airways,1,Solo Leisure,Economy Class,LJU to ZRH,Jul-16,5,5,1,5,1,5,yes
34,Adria Airways,6,Solo Leisure,Economy Class,LCJ to CDG,Jul-16,3,2,2,4,2,3,yes
35,Adria Airways,3,Solo Leisure,Economy Class,MUC to PRN,Jan-16,2,3,1,3,1,1,no
36,Adria Airways,5,Couple Leisure,Economy Class,LJU to AMS,Sep-15,3,3,1,3,1,2,no
37,Adria Airways,7,Solo Leisure,Economy Class,Ljubljana to Moscow,Sep-15,5,1,1,5,1,5,yes
38,Adria Airways,9,Business,Business Class,SKP to LJU,Sep-15,5,5,5,5,4,5,yes
39,Adria Airways,5,Family Leisure,Economy Class,Frankfurt to Ljubljana,Feb-15,4,3,1,3,1,3,no
40,Adria Airways,6,Family Leisure,Economy Class,Ljubljana to Brussels,Aug-15,4,5,1,5,1,2,yes
41,Adria Airways,1,Family Leisure,Economy Class,Manchester to Ljubljana,Aug-15,5,5,1,5,1,4,yes
42,Adria Airways,7,,Economy Class,,,4,4,4,,0,4,yes
43,Adria Airways,1,,Business Class,,,4,5,4,,1,5,yes
44,Adria Airways,9,,Economy Class,,,5,5,4,,0,5,yes
45,Adria Airways,8,,Business Class,,,4,4,3,,1,4,yes
46,Adria Airways,4,,Economy Class,,,4,2,1,,2,2,no
47,Adria Airways,9,,Economy Class,,,4,4,3,,3,4,yes
48,Adria Airways,5,,Economy Class,,,4,4,1,,0,3,yes
49,Adria Airways,9,,Economy Class,,,5,5,4,,3,4,yes
50,Adria Airways,8,,Business Class,,,4,3,4,,1,4,yes
51,Adria Airways,1,,Economy Class,,,5,5,4,,4,4,yes
52,Adria Airways,9,,Economy Class,,,4,4,4,,4,4,yes
53,Adria Airways,7,,Economy Class,,,4,5,3,,3,5,yes
54,Adria Airways,8,,Economy Class,,,4,4,4,,0,4,yes
55,Adria Airways,7,,Business Class,,,3,3,4,,1,4,yes
56,Adria Airways,7,,Business Class,,,2,5,4,,0,4,yes
57,Adria Airways,5,,Economy Class,,,4,4,1,,0,4,yes
58,Adria Airways,9,,Economy Class,,,4,5,4,,0,2,yes
59,Adria Airways,5,,Economy Class,,,,,1,,1,4,yes
60,Adria Airways,5,,Economy Class,,,,,1,,1,4,yes
61,Adria Airways,8,,Economy Class,,,,,1,,1,1,yes
62,Adria Airways,9,,Economy Class,,,,,1,,1,4,yes
63,Adria Airways,5,,Economy Class,,,,,1,,1,1,no
64,Adria Airways,9,,Economy Class,,,,,1,,1,4,yes
65,Adria Airways,9,,Business Class,,,,,1,,1,4,yes
66,Adria Airways,1,,Business Class,,,,,1,,1,4,yes
67,Adria Airways,7,,Economy Class,,,,,1,,1,1,yes
68,Adria Airways,5,,Economy Class,,,,,1,,1,1,no
69,Adria Airways,5,,Economy Class,,,,,1,,1,1,no
70,Adria Airways,6,,Economy Class,,,,,1,,1,1,yes
71,Adria Airways,7,,Economy Class,,,,,1,,1,4,yes
72,Adria Airways,5,,Economy Class,,,,,1,,1,4,yes
73,Adria Airways,3,,,,,,,1,,1,,no
74,Adria Airways,4,,,,,,,1,,1,,no
75,Adria Airways,4,,,,,,,1,,1,,no
76,Adria Airways,4,,,,,,,1,,1,,no
77,Adria Airways,n,,,,,,,1,,1,,no
78,Adria Airways,n,,,,,,,1,,1,,no
79,Adria Airways,n,,,,,,,1,,1,,no
80,Adria Airways,n,,,,,,,1,,1,,no
81,Adria Airways,n,,,,,,,1,,1,,no
82,Adria Airways,n,,,,,,,1,,1,,no
83,Adria Airways,n,,,,,,,1,,1,,no
84,Adria Airways,n,,,,,,,1,,1,,no
85,Adria Airways,n,,,,,,,1,,1,,no
86,Adria Airways,n,,,,,,,1,,1,,no
87,Adria Airways,n,,,,,,,1,,1,,no
88,Adria Airways,n,,,,,,,1,,1,,no
89,Adria Airways,n,,,,,,,1,,1,,no
90,Adria Airways,n,,,,,,,1,,1,,no
91,Adria Airways,n,,,,,,,1,,1,,no
92,Adria Airways,n,,,,,,,1,,1,,no
93,Adria Airways,n,,,,,,,1,,1,,no
94,Aegean Airlines,1,Family Leisure,Economy Class,Heraklion to Istanbul via Athens,Jul-23,2,1,1,1,4,1,no
95,Aegean Airlines,1,Couple Leisure,Economy Class,Stockholm to Cairo via Athens,Jun-23,3,1,3,1,1,1,no
96,Aegean Airlines,4,Family Leisure,Economy Class,Athens to Brussels ,May-23,2,3,3,2,1,2,yes
97,Aegean Airlines,4,Couple Leisure,Premium Economy,Athens to Mykonos,Jul-23,3,2,1,2,1,2,no
98,Aegean Airlines,1,Couple Leisure,Economy Class,Barcelona to Athens,Jul-23,1,1,1,1,1,1,no
99,Aegean Airlines,1,Couple Leisure,Business Class,Santorini to Florence,Jul-23,1,1,1,1,1,1,no
100,Aegean Airlines,1,Couple Leisure,Economy Class,Athens to Chania,Jul-23,3,3,1,1,1,2,no
101,Aegean Airlines,1,Couple Leisure,Economy Class,Santorini to Tel Aviv via Thessaloniki / Athens,Jul-23,3,3,1,5,1,5,yes
102,Aegean Airlines,8,Business,Business Class,Munich to Athens,Jun-23,3,4,4,3,1,4,yes
103,Aegean Airlines,4,Business,Economy Class,London to Athens,Jun-23,2,4,3,1,1,2,no
104,Aegean Airlines,1,Business,Business Class,Athens to Mitilini,Jul-23,5,5,5,1,1,1,no
105,Aegean Airlines,6,Couple Leisure,Economy Class,Athens to London Heathrow,Jun-23,4,3,2,4,1,5,yes
106,Aegean Airlines,1,Solo Leisure,Economy Class,Cairo to Athens,Jun-23,1,1,1,1,1,1,no
107,Aegean Airlines,2,Couple Leisure,Economy Class,Malaga to Athens,Jun-23,1,2,1,1,1,3,no
108,Aegean Airlines,9,Couple Leisure,Economy Class,Sofia to Larnaca via Athens,Jun-23,5,5,5,4,1,5,yes
109,Aegean Airlines,9,Couple Leisure,Business Class,Rhodes to Athens,May-23,5,5,5,5,1,5,yes
110,Aegean Airlines,1,Family Leisure,Economy Class,Rome to Athens,May-23,1,1,1,1,1,1,no
111,Aegean Airlines,1,Business,Economy Class,Mytilini to Athens,May-23,1,1,1,1,1,1,no
112,Aegean Airlines,8,Couple Leisure,Economy Class,Tirana to Athens,Apr-23,4,5,3,5,1,5,yes
113,Aegean Airlines,1,Solo Leisure,Economy Class,Prague to Cairo via Athens,Apr-23,5,5,5,5,3,5,yes
114,Aegean Airlines,9,Solo Leisure,Economy Class,Athens to London,Apr-23,4,5,5,4,1,4,yes
115,Aegean Airlines,1,Solo Leisure,Economy Class,Belgrade to Marrakech via Athens,Apr-23,1,1,1,1,1,1,no
116,Aegean Airlines,1,Solo Leisure,Economy Class,Corfu to Athens,Mar-23,3,3,2,1,1,2,no
117,Aegean Airlines,3,Solo Leisure,Economy Class,Brussels to Thessaloniki via Larnaca,Mar-23,4,5,3,1,1,3,no
118,Aegean Airlines,9,Couple Leisure,Business Class,Athens to Frankfurt,Mar-23,4,5,5,4,4,5,yes
119,Aegean Airlines,8,Family Leisure,Business Class,Athens to Berlin,Sep-22,2,4,3,5,4,5,yes
120,Aegean Airlines,1,Business,Economy Class,Athens to Stuttgart ,Jul-22,3,2,1,1,1,1,no
121,Aegean Airlines,2,Family Leisure,Economy Class,Tel Aviv to Athens,Mar-23,,,1,,1,1,no
122,Aegean Airlines,5,Family Leisure,Economy Class,Athens to Hamburg,Mar-23,1,5,2,5,1,3,no
123,Aegean Airlines,1,Couple Leisure,Economy Class,Rome to Athens ,Feb-23,,,1,,1,1,no
124,Aegean Airlines,1,Family Leisure,Economy Class,Madrid to Larnaca via Athens,Jun-22,1,1,1,1,1,1,no
125,Aegean Airlines,2,Solo Leisure,Economy Class,Paris to Munich via Athens,Dec-22,1,2,1,2,1,2,no
126,Aegean Airlines,3,Family Leisure,Economy Class,Athens to Brussels,Jan-23,2,3,3,3,3,2,no
127,Aegean Airlines,5,Solo Leisure,Economy Class,London to Corfu via Athens,Dec-22,3,3,3,3,1,3,no
128,Aegean Airlines,1,Solo Leisure,Economy Class,Santorini to Athens,Dec-22,2,1,1,1,1,1,no
129,Aegean Airlines,1,Family Leisure,Economy Class,Athens to Zurich,Nov-22,4,5,4,1,1,1,no
130,Aegean Airlines,1,Solo Leisure,Economy Class,Prague to Cairo via Athens,Nov-22,5,5,3,5,1,5,yes
131,Aegean Airlines,1,Family Leisure,Economy Class,Rhodes to Stockholm,Nov-22,2,1,2,3,1,3,no
132,Aegean Airlines,2,Business,Economy Class,Belgrade to Chania,Sep-22,2,4,3,2,1,3,no
133,Aegean Airlines,1,Solo Leisure,Economy Class,Madrid to Heraklion via Athens,Oct-22,4,5,4,5,1,5,yes
134,Aegean Airlines,1,Couple Leisure,Economy Class,Santorini to Athens,Aug-22,1,1,1,1,1,1,no
135,Aegean Airlines,6,Business,Economy Class,Larnaca to Athens,Oct-22,3,3,3,3,3,3,no
136,Aegean Airlines,1,Couple Leisure,Economy Class,Santorini to Athens,Oct-22,2,2,1,1,1,1,no
137,Aegean Airlines,1,Couple Leisure,Economy Class,Corfu to Skopje via Athens,Aug-22,1,1,1,1,1,1,no
138,Aegean Airlines,5,Solo Leisure,Economy Class,Yerevan to Hamburg via Athens,Sep-22,4,5,3,1,1,3,no
139,Aegean Airlines,1,Couple Leisure,Economy Class,Oslo to Santorini,Sep-22,2,5,2,1,1,1,no
140,Aegean Airlines,5,Family Leisure,Economy Class,Rhodes to Amsterdam via Athens ,Sep-22,5,5,4,4,1,3,yes
141,Aegean Airlines,1,Solo Leisure,Economy Class,Prague to Cairo via Athens,Sep-22,5,5,5,5,1,5,yes
142,Aegean Airlines,4,Business,Economy Class,Helsinki to Athens,Sep-22,3,3,1,4,1,2,no
143,Aegean Airlines,2,Couple Leisure,Economy Class,Tbislis to Frankfurt via Athens ,Jun-22,3,1,2,2,1,3,no
144,Aegean Airlines,6,Solo Leisure,Economy Class,Athens to Beirut,Sep-22,2,4,4,4,1,3,yes
145,Aegean Airlines,2,Couple Leisure,Economy Class,Athens to Mykonos,Aug-22,2,3,1,1,1,1,no
146,Aegean Airlines,2,Couple Leisure,Economy Class,Athens to Munich,Sep-22,2,3,3,1,1,1,no
147,Aegean Airlines,1,Solo Leisure,Economy Class,Berlin to Thessaloniki,Jun-22,5,5,5,5,4,5,yes
148,Aegean Airlines,5,Solo Leisure,Economy Class,Stuttgart to Thessaloniki via Athens,Aug-22,3,4,3,1,1,1,no
149,Aegean Airlines,1,Business,Economy Class,Athens to London Heathrow,Aug-22,4,5,5,5,5,5,yes
150,Aegean Airlines,1,Family Leisure,Economy Class,London to Istanbul via Athens,Aug-22,2,2,1,1,1,1,no
151,Aegean Airlines,2,Business,Economy Class,Heraklion to Athens,Aug-22,3,3,1,1,1,1,no
152,Aegean Airlines,1,Business,Economy Class,Athens to Sofia,Jul-22,1,1,1,1,1,1,no
153,Aegean Airlines,1,Couple Leisure,Economy Class,Mykonos to Rome via Athens,Jul-22,1,1,1,1,1,1,no
154,Aegean Airlines,9,Solo Leisure,Economy Class,Athens to London,Jul-22,5,5,5,5,4,5,yes
155,Aegean Airlines,2,Solo Leisure,Economy Class,Athens to London,Jul-22,3,3,1,3,1,2,no
156,Aegean Airlines,1,Solo Leisure,Premium Economy,London to Athens,Jul-22,1,1,1,1,1,1,no
157,Aegean Airlines,1,Solo Leisure,Economy Class,Thessaloniki to Athens,Jul-22,2,2,1,1,1,1,no
158,Aegean Airlines,9,Solo Leisure,Economy Class,Istanbul to Athens,Jun-22,5,5,5,5,4,5,yes
159,Aegean Airlines,1,Business,Economy Class,Dublin to Paros via Athens,Jun-22,3,3,3,1,1,1,no
160,Aegean Airlines,7,Couple Leisure,Business Class,Mykonos to Copenhagen via Athens,Jun-22,4,5,3,1,2,1,yes
161,Aegean Airlines,1,Solo Leisure,Economy Class,Athens to Paris,Jun-22,2,3,1,1,1,1,no
162,Aegean Airlines,1,Solo Leisure,Economy Class,Athens to Mykonos,Jun-22,,,1,,1,5,yes
163,Aegean Airlines,4,Couple Leisure,Premium Economy,Santorini to Athens,May-22,4,1,1,4,1,3,no
164,Aegean Airlines,1,Couple Leisure,Economy Class,Hamburg to Athens,May-22,,,1,,1,1,no
165,Aegean Airlines,1,Solo Leisure,Economy Class,Heraklion to Athens,Apr-22,5,5,5,5,1,5,yes
166,Aegean Airlines,9,Solo Leisure,Economy Class,London to Athens,Apr-22,4,5,5,5,5,5,yes
167,Aegean Airlines,1,Family Leisure,Economy Class,Brussels to Athens,May-21,1,1,1,1,1,1,no
168,Aegean Airlines,1,Couple Leisure,Economy Class,London to Istanbul via Athens,Apr-22,,,1,,1,1,no
169,Aegean Airlines,3,Business,Business Class,Athens to Istanbul,Apr-22,1,5,3,5,1,1,no
170,Aegean Airlines,1,Couple Leisure,Economy Class,London to Athens,Sep-21,1,1,1,1,1,1,no
171,Aegean Airlines,1,Couple Leisure,Economy Class,Athens to Thessaloniki,Apr-22,1,3,2,3,1,1,no
172,Aegean Airlines,1,Solo Leisure,Economy Class,Athens to London,Mar-22,4,5,5,5,4,5,yes
173,Aegean Airlines,1,Business,Economy Class,Athens to Santorini,Apr-22,1,1,1,1,1,1,no
174,Aegean Airlines,1,Business,Economy Class,Athens to Stockholm,Feb-22,5,5,5,5,1,5,yes
175,Aegean Airlines,9,Solo Leisure,Economy Class,London to Athens,Feb-22,4,5,4,5,4,5,yes
176,Aegean Airlines,6,Family Leisure,Economy Class,Athens to London,Feb-22,2,4,2,5,1,2,yes
177,Aegean Airlines,4,Family Leisure,Economy Class,Athens to Helsinki,Dec-21,4,2,1,3,1,1,yes
178,Aegean Airlines,1,Family Leisure,Economy Class,Athens to Paris,Dec-21,2,4,2,1,1,1,no
179,Aegean Airlines,1,Solo Leisure,Economy Class,Prague to Cairo via Athens,Nov-21,5,5,5,5,1,5,yes
180,Aegean Airlines,4,Business,Economy Class,Prague to Athens via Heraklion,Dec-21,4,4,3,1,3,1,no
181,Aegean Airlines,5,Business,Economy Class,Larnaca to Athens,Nov-21,4,5,2,4,1,2,no
182,Aegean Airlines,2,Business,Economy Class,Stockholm to Athens,Nov-21,,,1,1,1,1,no
183,Aegean Airlines,2,Family Leisure,Economy Class,London to Athens,Nov-21,2,3,1,1,1,2,no
184,Aegean Airlines,7,Solo Leisure,Economy Class,Athens to Munich,Oct-21,3,4,4,4,4,5,yes
185,Aegean Airlines,7,Couple Leisure,Economy Class,Stuttgart to Heraklion,Oct-21,3,3,3,4,1,5,yes
186,Aegean Airlines,1,Couple Leisure,Economy Class,Naples to Santorini,Oct-21,,,1,,1,1,no
187,Aegean Airlines,5,Solo Leisure,Economy Class,Heraklion to Thessaloniki,Sep-21,3,4,2,4,1,3,no
188,Aegean Airlines,2,Solo Leisure,Economy Class,Corfu to Athens,Sep-21,3,3,1,1,1,1,no
189,Aegean Airlines,1,Couple Leisure,Economy Class,Rhodes to Geneva via Athens,Sep-21,1,1,1,1,1,1,no
190,Aegean Airlines,3,Solo Leisure,Economy Class,Sofia to Thessaloniki via Athens,Sep-21,4,5,4,3,1,3,no
191,Aegean Airlines,3,Business,Economy Class,Zurich to Athens,Sep-21,1,1,1,1,1,1,no
192,Aegean Airlines,1,Solo Leisure,Business Class,Larnaca to London Heathrow via Athens,Sep-21,3,5,4,5,3,4,yes
193,Aegean Airlines,9,Family Leisure,Economy Class,London to Athens,Sep-21,4,5,5,5,5,5,yes
194,Aer Lingus,3,Couple Leisure,Economy Class,Seattle to Dublin,Aug-22,4,4,3,1,3,3,no
195,Aer Lingus,1,Couple Leisure,Economy Class,Dublin to Orlando via Cork,Jul-23,1,4,1,3,1,2,no
196,Aer Lingus,1,Couple Leisure,Economy Class,Alicante to Dublin,Jul-23,3,5,5,5,1,5,yes
197,Aer Lingus,3,Couple Leisure,Economy Class,Southampton to Dublin,Jul-23,2,2,1,4,1,1,no
198,Aer Lingus,2,Solo Leisure,Economy Class,Edinburgh to Belfast,Jul-23,3,3,1,1,1,2,no
199,Aer Lingus,1,Couple Leisure,Economy Class,Dublin to London,May-23,2,2,1,1,1,1,no
200,Aer Lingus,1,Family Leisure,Economy Class,Dublin to Philadelphia,Jul-23,1,1,1,1,1,1,no
201,Aer Lingus,2,Couple Leisure,Economy Class,Dublin to New York,Jun-23,2,4,4,1,1,3,no
202,Aer Lingus,1,Family Leisure,Economy Class,Paris to New York via Dublin,Jun-23,3,4,1,1,1,1,no
203,Aer Lingus,1,Family Leisure,Economy Class,Naples to Washington via Dublin,Aug-22,2,2,1,3,3,3,no
204,Aer Lingus,1,Family Leisure,Economy Class,Chicago to Dublin,Jun-23,1,1,1,1,1,1,no
205,Aer Lingus,1,Couple Leisure,Economy Class,Boston to Athens via Dublin,Jun-23,1,5,1,1,1,1,no
206,Aer Lingus,9,Family Leisure,Economy Class,Cork to Dubrovnik,Jun-23,4,5,1,4,1,5,yes
207,Aer Lingus,1,Couple Leisure,Economy Class,New York to Naples via Dublin ,Jun-23,1,1,1,1,1,1,no
208,Aer Lingus,1,Couple Leisure,Economy Class,Manchester to New York JFK,May-23,1,1,1,1,1,1,no
209,Aer Lingus,1,Solo Leisure,Economy Class,Dublin to San Francisco,Jun-23,3,5,5,1,3,1,no
210,Aer Lingus,1,Couple Leisure,Economy Class,Washington to Naples via Dublin,Jun-23,1,1,1,1,1,1,no
211,Aer Lingus,7,Couple Leisure,Business Class,New York JFK to Manchester,Jun-23,5,4,3,5,2,4,yes
212,Aer Lingus,2,Family Leisure,Economy Class,Orlando to Dublin,May-23,3,4,4,3,4,2,no
213,Aer Lingus,3,Business,Economy Class,London Heathrow to Shannon,Jun-23,1,1,1,1,1,1,no
214,Aer Lingus,1,Family Leisure,Economy Class,Boston to Amsterdam via Dublin ,Mar-23,3,3,3,1,3,1,no
215,Aer Lingus,1,Business,Business Class,Dublin to Boston,May-23,1,1,1,1,1,1,no
216,Aer Lingus,7,Solo Leisure,Economy Class,Dublin to London,Jun-23,5,2,1,2,1,3,yes
217,Aer Lingus,1,Business,Business Class,Edinburgh to Toronto via Dublin,May-23,2,1,1,1,1,1,no
218,Aer Lingus,3,Solo Leisure,Economy Class,Edinburgh to Dublin,May-23,4,5,1,4,1,4,no
219,Aer Lingus,2,Family Leisure,Economy Class,Chicago to Zurich via Dublin,May-23,4,3,3,1,3,2,no
220,Aer Lingus,1,Business,Economy Class,Dublin to London,May-23,5,5,1,5,1,5,yes
221,Aer Lingus,1,Couple Leisure,Economy Class,Boston to Naples via Dublin,May-23,3,4,4,1,1,3,no
222,Aer Lingus,8,Business,Premium Economy,Dublin to Geneva,May-23,3,4,4,4,3,4,yes
223,Aer Lingus,1,Couple Leisure,Business Class,San Francisco to Dublin,May-23,3,1,1,1,1,4,no
224,Aer Lingus,3,Solo Leisure,Economy Class,Los Angeles to Dublin,May-23,3,1,1,3,4,2,no
225,Aer Lingus,3,Business,Business Class,Manchester to New York JFK ,May-23,3,2,2,2,3,2,no
226,Aer Lingus,3,Family Leisure,Economy Class,New York to Frankfurt via Dublin,May-23,2,3,2,1,3,2,no
227,Aer Lingus,1,Solo Leisure,Economy Class,Berlin to Dublin,May-23,2,1,1,1,1,1,no
228,Aer Lingus,1,Solo Leisure,Economy Class,Dublin to London,May-23,1,1,1,1,1,1,no
229,Aer Lingus,1,Couple Leisure,Economy Class,Dublin to Dublin via Alicante airport,May-23,2,5,2,5,1,5,yes
230,Aer Lingus,3,Family Leisure,Economy Class,Toronto to London via Dublin,Aug-22,4,4,4,1,4,3,no
231,Aer Lingus,1,Solo Leisure,Economy Class,Hartford to Dublin,Apr-23,1,1,1,1,1,1,no
232,Aer Lingus,9,Solo Leisure,Economy Class,London Heathrow to Shannon,Apr-23,5,4,3,5,1,5,yes
233,Aer Lingus,1,Business,Economy Class,Gatwick to Orlando via Dublin,Apr-23,1,5,1,1,1,1,no
234,Aer Lingus,1,Family Leisure,Economy Class,Dublin to Edinburgh,Apr-23,1,1,1,1,1,1,no
235,Aer Lingus,2,Family Leisure,Economy Class,Dublin to Hartford,Apr-23,1,1,1,1,1,1,no
236,Aer Lingus,1,Couple Leisure,Economy Class,Dublin to Newark,Apr-23,2,1,1,1,2,1,no
237,Aer Lingus,6,Solo Leisure,Economy Class,London Heathrow to Cork,Feb-23,4,2,1,3,1,3,no
238,Aer Lingus,6,Couple Leisure,Economy Class,Los Angeles to Paris via Dublin,Sep-22,1,3,1,3,3,4,yes
239,Aer Lingus,1,Couple Leisure,Economy Class,London Heathrow to Belfast,Jan-23,,,1,,1,1,no
240,Aer Lingus,1,Family Leisure,Business Class,Paris to San Francisco via Dublin,Dec-22,2,1,1,1,2,1,no
241,Aer Lingus,4,Solo Leisure,Economy Class,Washington to Glasgow via Dublin,Jan-23,4,4,4,3,5,4,no
242,Aer Lingus,1,Family Leisure,Economy Class,Manchester to New York JFK,Dec-22,2,1,2,1,1,1,no
243,Aer Lingus,1,Family Leisure,Economy Class,Toronto to Birmingham via Dublin,Dec-22,1,1,1,1,1,1,no
244,Aer Lingus,1,Solo Leisure,Economy Class,Dublin to Boston,Sep-22,1,2,1,1,1,1,no
245,Aer Lingus,2,Solo Leisure,Economy Class,Washington to London via Dublin,Dec-22,2,2,2,1,2,2,no
246,Aer Lingus,1,Business,Premium Economy,Paris to Boston via Dublin,Dec-22,1,1,1,1,1,1,no
247,Aer Lingus,1,Couple Leisure,Economy Class,Chicago to Dublin,Dec-22,1,2,2,1,1,1,no
248,Aer Lingus,3,Solo Leisure,Economy Class,Dublin to Glasgow,Dec-22,3,3,1,1,1,1,no
249,Aer Lingus,2,Solo Leisure,Economy Class,Dublin to Seattle,Dec-22,1,3,1,1,1,1,no
250,Aer Lingus,1,Solo Leisure,Economy Class,Belfast City to Southampton,Nov-22,,,1,1,1,1,no
251,Aer Lingus,3,Family Leisure,Economy Class,Dublin to Boston,Nov-22,4,1,1,3,3,3,no
252,Aer Lingus,1,Solo Leisure,Economy Class,Chicago to Venice via Dublin,Sep-22,1,1,1,1,1,1,no
253,Aer Lingus,2,Couple Leisure,Economy Class,Dublin to London ,Jul-22,3,2,1,1,1,1,no
254,Aer Lingus,1,Family Leisure,Economy Class,Orlando to Manchester via New York / Dublin,Nov-22,1,1,1,1,3,2,no
255,Aer Lingus,1,Couple Leisure,Economy Class,London to Dublin ,Jul-22,1,1,1,1,1,1,no
256,Aer Lingus,1,Family Leisure,Economy Class,Boston to London via Shannon,Jun-22,4,4,2,2,4,3,no
257,Aer Lingus,2,Solo Leisure,Economy Class,Dublin to London Gatwick,Oct-22,1,1,1,1,2,1,no
258,Aer Lingus,1,Solo Leisure,Economy Class,Rome to Dublin,Oct-22,3,1,1,4,1,2,no
259,Aer Lingus,1,Couple Leisure,Economy Class,Dublin to Chicago,Oct-22,2,3,1,1,1,1,no
260,Aer Lingus,1,Couple Leisure,Economy Class,Philadelphia to Edinburgh via Dublin,Oct-22,1,3,1,1,1,1,no
261,Aer Lingus,1,Business,Business Class,Seattle to Dublin,Jul-22,,,1,,1,1,no
262,Aer Lingus,1,Solo Leisure,Economy Class,Chicago to Amsterdam via Dublin,Sep-22,1,3,3,1,1,1,no
263,Aer Lingus,5,Solo Leisure,Economy Class,Dublin to Lisbon,Sep-22,3,1,1,2,1,1,no
264,Aer Lingus,1,Solo Leisure,Economy Class,Edinburgh to New York JFK via Dublin,Jun-22,3,3,1,1,1,1,no
265,Aer Lingus,2,Couple Leisure,Economy Class,Dublin to Boston,Sep-22,2,1,1,2,1,2,no
266,Aer Lingus,1,Solo Leisure,Economy Class,Birmingham to Philadelphia via Dublin,Sep-22,1,3,3,1,3,1,no
267,Aer Lingus,1,Couple Leisure,Economy Class,Philadelphia to Dublin,Jul-22,,,1,,1,1,no
268,Aer Lingus,4,Family Leisure,Economy Class,Chicago to Dublin ,Sep-22,1,2,1,3,1,2,no
